PANEL,KODE,JENIS_LAMPU,TIANG,KONDISI_TIANG,DESA/KEL,KECAMATAN,KABUPATEN,LATITUDE,LONGITUDE
DS. BLNRJ 1,DS. BLNRJ 1A1,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193372,111.952048
DS. BLNRJ 1,DS. BLNRJ 1A2,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193608,111.952000
DS. BLNRJ 1,DS. BLNRJ 1A3,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193847,111.951951
DS. BLNRJ 1,DS. BLNRJ 1A4,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.194091,111.951916
DS. BLNRJ 1,DS. BLNRJ 1A5,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.194369,111.951908
DS. BLNRJ 1,DS. BLNRJ 1A6,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193087,111.952088
DS. BLNRJ 1,DS. BLNRJ 1A7,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192828,111.952140
DS. BLNRJ 1,DS. BLNRJ 1A8,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192630,111.952163
DS. BLNRJ 1,DS. BLNRJ 1A9,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192426,111.952212
DS. BLNRJ 1,DS. BLNRJ 1A10,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192147,111.952259
DS. BLNRJ 1,DS. BLNRJ 1A11,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.191816,111.952309
DS. BLNRJ 1,DS. BLNRJ 1A12,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192857,111.952378
DS. BLNRJ 1,DS. BLNRJ 1A13,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192887,111.952623
DS. BLNRJ 1,DS. BLNRJ 1B1,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193323,111.951804
DS. BLNRJ 1,DS. BLNRJ 1B2,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193271,111.951579
DS. BLNRJ 1,DS. BLNRJ 1B3,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193208,111.951275
DS. BLNRJ 1,DS. BLNRJ 1B4,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193164,111.951043
DS. BLNRJ 1,DS. BLNRJ 1B5,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193095,111.950762
DS. BLNRJ 1,DS. BLNRJ 1B6,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.193040,111.950535
DS. BLNRJ 1,DS. BLNRJ 1B7,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192969,111.950194
DS. BLNRJ 1,DS. BLNRJ 1B8,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192899,111.949909
DS. BLNRJ 1,DS. BLNRJ 1B9,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192856,111.949698
DS. BLNRJ 1,DS. BLNRJ 1B10,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.192753,111.949473
518080454645,DS. BLNRJ 3A1,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189569,111.967721
518080454645,DS. BLNRJ 3A2,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189675,111.967954
518080454645,DS. BLNRJ 3A3,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.190003,111.967907
518080454645,DS. BLNRJ 3A4,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.190206,111.967842
518080454645,DS. BLNRJ 3A5,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.190441,111.967800
518080454645,DS. BLNRJ 3B1,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189493,111.967432
518080454645,DS. BLNRJ 3B2,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189201,111.967463
518080454645,DS. BLNRJ 3B3,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.188943,111.967533
518080454645,DS. BLNRJ 3B4,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189574,111.967201
518080454645,DS. BLNRJ 3B5,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189426,111.966921
518080454645,DS. BLNRJ 3B6,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189651,111.966818
518080454645,DS. BLNRJ 3B7,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189543,111.966590
518080454645,DS. BLNRJ 3B8,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189415,111.966380
518080454645,DS. BLNRJ 3B9,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189715,111.966325
518080454645,DS. BLNRJ 3B10,LED,STAINLESS STEEL 5M,KONDISI TIANG PJU BAIK,Balenrejo,Balen ,Bojonegoro,-7.189979,111.966287
